Gold market premium/discount data,,,,,,,,,,,,,
,,,,,,,,,,,,,
Indian Premium/Discount (US$/oz),,,,"The Indian premium/discount data is sourced from NCDEX (one of the commodity exchanges in India), which started publishing this data from 21 May 2015. Prior to that, premium/discount was calculated using the 'Premia Sheet-Old' worksheet. More information can be found in the accompanying metholdogy note. *Polled Premium for 995 Gold at Ahmedabad in USD/troy oz.",,,,,,,,,
Source: MCX; RBI; NCDEX; World Gold Council,,,,,,,,,,,,,
,,,,,,,,,,,,,
2013-02-19,-4.1,,,,,,,,,,,,
2013-02-20,-2.3,,,,,,,,,,,,
2013-02-21,-5.3,,,,,,,,,,,,
2013-02-22,-8.5,,,,,,,,,,,,
2013-02-25,-7.7,,,,,,,,,,,,
2013-02-26,-13.2,,,,,,,,,,,,
2013-02-27,-4.1,,,,,,,,,,,,
2013-02-28,17.0,,,,,,,,,,,,
2013-03-01,7.2,,,,,,,,,,,,
2013-03-04,-12.3,,,,,,,,,,,,
2013-03-05,-3.7,,,,,,,,,,,,
2013-03-06,-5.6,,,,,,,,,,,,
2013-03-07,-13.9,,,,,,,,,,,,
2013-03-08,-8.5,,,,,,,,,,,,
2013-03-11,-5.5,,,,,,,,,,,,
2013-03-12,-6.7,,,,,,,,,,,,
2013-03-13,1.2,,,,,,,,,,,,
2013-03-14,-12.8,,,,,,,,,,,,
2013-03-15,-8.8,,,,,,,,,,,,
2013-03-18,-9.3,,,,,,,,,,,,
2013-03-19,-3.7,,,,,,,,,,,,
2013-03-20,-10.2,,,,,,,,,,,,
2013-03-21,-10.3,,,,,,,,,,,,
2013-03-22,-10.1,,,,,,,,,,,,
2013-03-25,-5.0,,,,,,,,,,,,
2013-03-26,-7.1,,,,,,,,,,,,
2013-03-27,-7.1,,,,,,,,,,,,
2013-03-28,-12.0,,,,,,,,,,,,
2013-03-29,-12.0,,,,,,,,,,,,
2013-04-01,-12.0,,,,,,,,,,,,
2013-04-02,-10.5,,,,,,,,,,,,
2013-04-03,-4.5,,,,,,,,,,,,
2013-04-04,0.1,,,,,,,,,,,,
2013-04-05,-3.8,,,,,,,,,,,,
2013-04-08,-11.8,,,,,,,,,,,,
2013-04-09,-3.0,,,,,,,,,,,,
2013-04-10,-8.7,,,,,,,,,,,,
2013-04-11,-8.7,,,,,,,,,,,,
2013-04-12,-1.2,,,,,,,,,,,,
2013-04-15,-10.6,,,,,,,,,,,,
2013-04-16,7.6,,,,,,,,,,,,
2013-04-17,5.0,,,,,,,,,,,,
2013-04-18,2.6,,,,,,,,,,,,
2013-04-19,2.6,,,,,,,,,,,,
2013-04-22,12.6,,,,,,,,,,,,
2013-04-23,8.9,,,,,,,,,,,,
2013-04-24,8.9,,,,,,,,,,,,
2013-04-25,15.5,,,,,,,,,,,,
2013-04-26,19.0,,,,,,,,,,,,
2013-04-29,5.8,,,,,,,,,,,,
2013-04-30,-8.3,,,,,,,,,,,,
2013-05-01,-8.3,,,,,,,,,,,,
2013-05-02,4.3,,,,,,,,,,,,
2013-05-03,9.3,,,,,,,,,,,,
2013-05-06,9.3,,,,,,,,,,,,
2013-05-07,-4.7,,,,,,,,,,,,
2013-05-08,1.5,,,,,,,,,,,,
2013-05-09,1.7,,,,,,,,,,,,
2013-05-10,-4.8,,,,,,,,,,,,
2013-05-13,4.9,,,,,,,,,,,,
2013-05-14,9.4,,,,,,,,,,,,
2013-05-15,14.8,,,,,,,,,,,,
2013-05-16,21.6,,,,,,,,,,,,
2013-05-17,20.8,,,,,,,,,,,,
2013-05-20,14.9,,,,,,,,,,,,
